brain,scenario,method,tissue_pct,skull_pct,status,converged,tissue_rmse,tissue_std,tissue_mean,skull_rmse,ms_ssim,psnr,n_tissue_px,n_skull_px,n_brain_px
vp_894774,standard,sg,84.02,82.48,converged,1,22.48,26.764,1560.936,224.854,0.9651,23.17,31943,3846,47076
vp_894774,standard,sg_c,92.84,83.36,converged,1,15.565,24.832,1565.033,206.597,0.9767,24.128,31943,3846,47076
vp_894774,reduced_compute,baseline,8.75,1.72,failed,0,89.753,0.0,1480.0,960.565,0.8705,16.512,31943,3846,47076
vp_894774,reduced_compute,dg,8.92,1.95,failed,0,75.193,12.419,1494.667,870.842,0.8735,16.755,31943,3846,47076
vp_894774,reduced_compute,dg_c,37.57,7.23,failed,0,48.456,32.804,1604.565,694.563,0.8863,18.026,31943,3846,47076
vp_894774,reduced_compute,sg,80.35,20.36,failed,0,36.433,35.191,1585.719,717.807,0.8869,18.459,31943,3846,47076
vp_894774,reduced_compute,sg_c,78.69,83.1,converged,1,35.166,39.466,1562.988,236.113,0.9364,22.51,31943,3846,47076
vp_894774,missing_low_freq,baseline,8.75,1.77,failed,0,89.753,0.0,1480.0,1003.177,0.8692,16.487,31943,3846,47076
vp_894774,missing_low_freq,dg,8.82,6.53,failed,0,70.312,13.155,1499.207,843.1,0.8762,16.848,31943,3846,47076
vp_894774,missing_low_freq,dg_c,29.66,5.62,failed,0,58.302,42.01,1607.799,717.721,0.8799,17.833,31943,3846,47076
vp_894774,missing_low_freq,sg,88.51,29.23,failed,0,41.014,41.208,1578.772,810.745,0.8656,17.435,31943,3846,47076
vp_894774,missing_low_freq,sg_c,0.0,34.95,failed,0,154.629,31.472,1716.694,632.585,0.8748,17.589,31943,3846,47076
vp_432332,standard,baseline,92.66,60.58,converged,1,15.929,22.454,1571.199,281.323,0.9599,21.702,27343,2395,40161
vp_432332,standard,dg,92.85,69.35,converged,1,15.737,20.206,1561.02,255.802,0.9635,21.933,27343,2395,40161
vp_432332,standard,dg_c,93.58,70.61,converged,1,15.12,20.075,1560.587,248.047,0.9645,21.977,27343,2395,40161
vp_432332,standard,sg,97.67,82.96,converged,1,10.739,17.785,1562.85,182.813,0.9795,23.74,27343,2395,40161
vp_432332,standard,sg_c,96.25,68.31,converged,1,12.492,20.941,1565.06,227.647,0.9834,24.261,27343,2395,40161
vp_432332,reduced_compute,baseline,6.68,23.05,failed,0,88.566,2.614,1480.346,696.947,0.9076,18.143,27343,2395,40161
vp_432332,reduced_compute,dg,86.28,60.33,converged,1,22.362,23.635,1577.161,430.283,0.9378,20.153,27343,2395,40161
vp_432332,reduced_compute,dg_c,79.5,68.35,converged,1,26.631,19.914,1589.246,306.125,0.9508,21.075,27343,2395,40161
vp_432332,reduced_compute,sg,96.85,83.63,converged,1,11.599,18.279,1569.742,183.455,0.9665,22.339,27343,2395,40161
vp_432332,reduced_compute,sg_c,96.6,75.45,converged,1,13.743,19.763,1574.668,213.28,0.9778,23.494,27343,2395,40161
vp_432332,missing_low_freq,baseline,6.63,18.25,failed,0,88.759,1.034,1480.107,790.149,0.9025,17.948,27343,2395,40161
vp_432332,missing_low_freq,dg,6.63,35.37,failed,0,88.153,3.074,1480.716,600.12,0.9209,18.734,27343,2395,40161
vp_432332,missing_low_freq,dg_c,67.02,58.83,buffer,0,33.571,24.808,1593.426,429.975,0.9407,20.402,27343,2395,40161
vp_432332,missing_low_freq,sg,7.25,30.15,failed,0,85.654,10.479,1483.65,610.905,0.9078,18.347,27343,2395,40161
vp_432332,missing_low_freq,sg_c,85.75,85.51,converged,1,22.391,22.024,1549.964,177.829,0.9788,23.881,27343,2395,40161
vp_129634,standard,baseline,85.86,54.57,buffer,0,24.675,25.366,1587.062,263.842,0.9698,23.709,27494,2309,40075
vp_129634,standard,dg,93.73,88.26,converged,1,17.263,21.737,1576.48,165.705,0.9689,23.752,27494,2309,40075
vp_129634,standard,dg_c,93.54,89.95,converged,1,16.078,21.403,1557.421,161.017,0.9666,23.396,27494,2309,40075
vp_129634,standard,sg,92.19,80.47,converged,1,19.938,22.436,1582.3,187.02,0.9775,24.74,27494,2309,40075
vp_129634,standard,sg_c,94.25,78.78,converged,1,15.089,24.978,1569.231,197.809,0.9835,25.622,27494,2309,40075
vp_129634,reduced_compute,baseline,10.56,21.31,failed,0,89.402,5.732,1480.337,606.996,0.9068,19.48,27494,2309,40075
vp_129634,reduced_compute,dg,88.48,91.25,converged,1,21.698,22.497,1583.472,153.175,0.9592,22.915,27494,2309,40075
vp_129634,reduced_compute,dg_c,90.57,88.7,converged,1,20.224,22.338,1581.737,163.953,0.9607,23.021,27494,2309,40075
vp_129634,reduced_compute,sg,83.58,87.05,converged,1,24.089,22.605,1586.802,168.128,0.9673,23.747,27494,2309,40075
vp_129634,reduced_compute,sg_c,94.01,84.41,converged,1,17.364,23.832,1577.74,180.685,0.9797,25.032,27494,2309,40075
vp_129634,missing_low_freq,baseline,10.52,14.29,failed,0,89.352,1.553,1480.143,686.242,0.9031,19.267,27494,2309,40075
