brain,scenario,method,tissue_pct,skull_pct,status,converged,tissue_rmse,tissue_std,tissue_mean,skull_rmse,ms_ssim,psnr,n_tissue_px,n_skull_px,n_brain_px
vp_133827,reduced_compute,dg,5.5,6.88,failed,0,62.74,15.405,1506.295,771.902,0.888,17.088,31319,4173,46843
vp_133827,reduced_compute,dg_c,35.13,13.44,failed,0,50.542,29.174,1606.807,615.092,0.8947,18.264,31319,4173,46843
vp_133827,reduced_compute,sg,70.78,32.06,buffer,0,42.979,36.303,1591.314,637.451,0.9073,18.958,31319,4173,46843
vp_133827,reduced_compute,sg_c,82.08,79.01,converged,1,37.339,39.686,1566.552,221.134,0.9307,21.789,31319,4173,46843
vp_133827,missing_low_freq,baseline,5.15,2.78,failed,0,88.878,0.0,1480.0,1009.93,0.8669,15.985,31319,4173,46843
vp_133827,missing_low_freq,dg,5.79,4.72,failed,0,60.66,15.125,1508.51,909.561,0.8703,16.284,31319,4173,46843
vp_133827,missing_low_freq,dg_c,32.77,9.8,failed,0,60.829,38.308,1613.185,768.504,0.8763,17.291,31319,4173,46843
vp_133827,missing_low_freq,sg,87.36,43.78,buffer,0,62.951,61.319,1582.518,688.157,0.8938,18.38,31319,4173,46843
vp_133827,missing_low_freq,sg_c,0.0,37.89,failed,0,178.764,72.158,1729.257,600.684,0.8794,17.455,31319,4173,46843
vp_381543,standard,baseline,92.4,51.04,buffer,0,19.387,25.165,1569.921,349.415,0.9529,21.569,28833,2796,42203
vp_381543,standard,dg,88.59,60.55,converged,1,20.156,23.676,1556.959,331.447,0.9604,22.095,28833,2796,42203
vp_381543,standard,dg_c,87.66,58.23,buffer,0,21.308,24.38,1576.196,336.301,0.9588,22.006,28833,2796,42203
vp_381543,standard,sg,93.45,79.01,converged,1,15.33,21.219,1574.019,196.537,0.9782,24.194,28833,2796,42203
vp_381543,standard,sg_c,86.33,82.19,converged,1,21.674,23.229,1549.44,183.428,0.977,23.998,28833,2796,42203
vp_381543,reduced_compute,baseline,6.23,21.07,failed,0,87.943,0.219,1480.009,783.589,0.9059,18.047,28833,2796,42203
vp_381543,reduced_compute,dg,73.89,62.63,converged,1,31.723,25.672,1588.936,435.262,0.9443,20.782,28833,2796,42203
vp_381543,reduced_compute,dg_c,79.42,59.66,buffer,0,31.564,26.86,1587.39,458.436,0.9461,20.854,28833,2796,42203
vp_381543,reduced_compute,sg,88.62,76.82,converged,1,21.382,21.401,1582.09,222.221,0.9656,22.835,28833,2796,42203
vp_381543,reduced_compute,sg_c,92.12,74.93,converged,1,18.434,25.956,1569.441,227.106,0.9713,23.534,28833,2796,42203
vp_381543,missing_low_freq,baseline,6.23,16.02,failed,0,87.951,0.001,1480.0,852.948,0.9024,17.9,28833,2796,42203
vp_381543,missing_low_freq,dg,6.23,28.65,failed,0,87.885,0.869,1480.067,725.751,0.9202,18.566,28833,2796,42203
vp_381543,missing_low_freq,dg_c,65.98,50.5,buffer,0,40.226,32.072,1593.885,574.701,0.9371,20.145,28833,2796,42203
vp_381543,missing_low_freq,sg,6.38,31.33,failed,0,86.914,4.899,1481.13,660.811,0.909,18.472,28833,2796,42203
vp_381543,missing_low_freq,sg_c,83.22,75.04,converged,1,22.384,29.485,1562.489,218.266,0.971,23.799,28833,2796,42203
vp_286347,standard,baseline,79.11,59.57,buffer,0,29.1,25.176,1585.502,306.692,0.9594,21.809,29584,2491,42751
vp_286347,standard,dg,83.62,60.34,converged,1,21.667,23.631,1553.857,400.126,0.9609,21.624,29584,2491,42751
vp_286347,standard,dg_c,87.86,60.7,converged,1,19.698,22.638,1554.555,362.034,0.9627,21.728,29584,2491,42751
vp_286347,standard,sg,94.65,82.06,converged,1,15.051,20.603,1570.178,191.343,0.9796,23.972,29584,2491,42751
vp_286347,standard,sg_c,93.0,80.73,converged,1,15.874,23.595,1561.131,191.472,0.9817,24.357,29584,2491,42751
vp_286347,reduced_compute,baseline,8.81,31.83,failed,0,85.275,0.205,1480.004,852.068,0.9108,17.866,29584,2491,42751
vp_286347,reduced_compute,dg,74.43,43.84,buffer,0,30.183,28.702,1575.083,581.314,0.9291,19.382,29584,2491,42751
vp_286347,reduced_compute,dg_c,81.82,57.21,buffer,0,25.725,21.486,1581.931,411.203,0.9512,20.771,29584,2491,42751
vp_286347,reduced_compute,sg,83.6,78.84,converged,1,24.433,20.583,1583.229,221.903,0.9666,22.357,29584,2491,42751
vp_286347,reduced_compute,sg_c,90.55,79.37,converged,1,18.665,24.979,1567.933,211.877,0.9722,23.208,29584,2491,42751
vp_286347,missing_low_freq,baseline,8.81,25.13,failed,0,85.277,0.0,1480.0,959.166,0.9044,17.565,29584,2491,42751
vp_286347,missing_low_freq,dg,8.81,40.18,failed,0,85.0,2.745,1480.324,735.931,0.9282,18.701,29584,2491,42751
vp_286347,missing_low_freq,dg_c,81.64,51.95,buffer,0,26.513,27.705,1570.063,581.925,0.9414,20.0,29584,2491,42751
vp_286347,missing_low_freq,sg,85.11,77.12,converged,1,23.625,20.624,1581.651,256.05,0.9663,22.435,29584,2491,42751
vp_286347,missing_low_freq,sg_c,87.36,80.33,converged,1,19.301,25.918,1561.802,207.267,0.9749,23.793,29584,2491,42751
vp_190132,standard,baseline,6.38,23.48,failed,0,89.99,3.716,1480.517,636.724,0.8877,17.873,27260,4417,42178
vp_190132,standard,dg,66.29,75.82,converged,1,33.671,27.38,1591.89,358.827,0.9318,20.646,27260,4417,42178
vp_190132,standard,dg_c,79.53,78.54,converged,1,26.155,22.763,1587.664,285.029,0.938,21.075,27260,4417,42178
vp_190132,standard,sg,91.92,87.48,converged,1,20.237,20.266,1584.914,169.081,0.9669,23.137,27260,4417,42178
vp_190132,standard,sg_c,96.88,89.27,converged,1,13.09,20.599,1575.859,160.771,0.9715,23.432,27260,4417,42178
vp_190132,reduced_compute,baseline,6.57,20.35,failed,0,88.872,7.649,1482.016,782.58,0.8772,17.229,27260,4417,42178
vp_190132,reduced_compute,dg,6.75,15.58,failed,0,82.151,15.984,1489.422,806.914,0.8738,16.85,27260,4417,42178
vp_190132,reduced_compute,dg_c,36.74,60.63,failed,0,52.658,33.64,1610.99,465.273,0.902,19.182,27260,4417,42178
vp_190132,reduced_compute,sg,60.03,87.48,converged,1,31.459,22.684,1595.891,200.789,0.9416,21.501,27260,4417,42178
vp_190132,reduced_compute,sg_c,90.3,90.6,converged,1,20.477,22.387,1583.3,174.008,0.9535,22.267,27260,4417,42178
vp_190132,missing_low_freq,baseline,6.85,15.49,failed,0,89.224,8.482,1481.793,855.349,0.874,17.034,27260,4417,42178
vp_190132,missing_low_freq,dg,6.28,27.19,failed,0,83.894,11.106,1486.729,735.886,0.8791,17.236,27260,4417,42178
vp_190132,missing_low_freq,dg_c,45.41,46.89,buffer,0,53.141,41.409,1603.767,560.398,0.8837,18.482,27260,4417,42178
vp_190132,missing_low_freq,sg,6.6,29.52,failed,0,83.398,11.982,1487.216,707.626,0.878,17.506,27260,4417,42178
vp_190132,missing_low_freq,sg_c,92.8,90.04,converged,1,18.57,21.454,1581.349,173.126,0.9569,22.487,27260,4417,42178
vp_172534,standard,baseline,95.65,64.65,converged,1,12.534,20.167,1568.149,230.201,0.9667,23.316,28516,2563,41631
vp_172534,standard,dg,95.14,78.23,converged,1,16.189,19.535,1575.891,189.933,0.9725,23.922,28516,2563,41631
vp_172534,standard,dg_c,94.96,82.33,converged,1,16.874,19.225,1578.323,179.991,0.9712,23.8,28516,2563,41631
vp_172534,standard,sg,98.77,88.18,converged,1,8.954,17.54,1563.675,157.608,0.9854,25.449,28516,2563,41631
vp_172534,standard,sg_c,97.64,75.26,converged,1,12.957,20.761,1571.604,203.025,0.9857,25.559,28516,2563,41631
vp_172534,reduced_compute,baseline,5.75,21.19,failed,0,88.648,3.37,1480.623,562.136,0.9115,19.3,28516,2563,41631
vp_172534,reduced_compute,dg,79.99,92.94,converged,1,25.079,18.891,1589.311,146.649,0.9558,22.665,28516,2563,41631
vp_172534,reduced_compute,dg_c,89.44,94.3,converged,1,22.053,18.196,1586.34,145.659,0.9615,23.022,28516,2563,41631
vp_172534,reduced_compute,sg,98.03,91.81,converged,1,9.396,17.377,1568.146,143.517,0.9753,24.269,28516,2563,41631
vp_172534,reduced_compute,sg_c,97.31,79.09,converged,1,15.184,19.431,1578.284,191.382,0.984,25.288,28516,2563,41631
vp_172534,missing_low_freq,baseline,5.75,13.54,failed,0,88.656,4.587,1480.665,640.861,0.9071,18.991,28516,2563,41631
vp_172534,missing_low_freq,dg,94.12,88.02,converged,1,13.581,18.45,1568.995,197.082,0.9542,22.467,28516,2563,41631
vp_172534,missing_low_freq,dg_c,83.6,88.22,converged,1,25.839,18.737,1589.728,191.617,0.9528,22.5,28516,2563,41631
vp_172534,missing_low_freq,sg,5.93,46.23,failed,0,86.845,7.956,1482.611,402.771,0.9174,19.848,28516,2563,41631
vp_172534,missing_low_freq,sg_c,95.88,80.37,converged,1,14.321,21.58,1569.69,187.304,0.9839,25.503,28516,2563,41631
vp_257845,standard,baseline,17.78,22.39,failed,0,99.92,87.517,1527.949,509.517,0.8867,19.831,29987,3672,44572
vp_257845,standard,dg,94.91,91.53,converged,1,14.522,25.154,1560.211,165.74,0.9568,22.607,29987,3672,44572
vp_257845,standard,dg_c,92.5,91.5,converged,1,16.801,25.882,1574.944,154.74,0.9596,22.86,29987,3672,44572
vp_257845,standard,sg,93.23,78.68,converged,1,17.41,25.694,1576.512,193.335,0.9782,24.43,29987,3672,44572
vp_257845,standard,sg_c,94.61,77.78,converged,1,15.196,27.655,1569.843,195.485,0.9796,24.575,29987,3672,44572
vp_257845,reduced_compute,baseline,14.39,18.68,failed,0,88.136,4.589,1480.823,639.602,0.8866,18.521,29987,3672,44572
vp_257845,reduced_compute,dg,64.63,62.72,converged,1,42.305,37.185,1593.545,356.984,0.9221,20.576,29987,3672,44572
vp_257845,reduced_compute,dg_c,84.72,91.07,converged,1,22.49,26.257,1581.461,153.379,0.9482,22.088,29987,3672,44572
vp_257845,reduced_compute,sg,96.2,91.12,converged,1,12.441,25.291,1565.458,153.311,0.9683,23.527,29987,3672,44572
vp_257845,reduced_compute,sg_c,92.22,83.74,converged,1,17.902,28.78,1570.753,177.069,0.9728,24.172,29987,3672,44572
vp_257845,missing_low_freq,baseline,14.42,14.49,failed,0,88.238,5.248,1480.763,689.161,0.8845,18.401,29987,3672,44572
vp_257845,missing_low_freq,dg,14.36,30.09,failed,0,87.463,4.611,1481.328,604.529,0.8888,18.501,29987,3672,44572
vp_257845,missing_low_freq,dg_c,77.89,68.27,converged,1,25.814,31.622,1577.531,335.897,0.9197,20.597,29987,3672,44572
vp_257845,missing_low_freq,sg,14.41,52.1,failed,0,87.733,5.048,1481.154,438.578,0.8983,19.348,29987,3672,44572
vp_257845,missing_low_freq,sg_c,76.32,87.99,converged,1,29.936,30.572,1544.616,162.654,0.9708,24.412,29987,3672,44572
vp_214019,standard,baseline,76.61,49.36,buffer,0,26.514,25.302,1587.62,306.526,0.9545,21.522,26892,2650,39857
vp_214019,standard,dg,94.08,80.64,converged,1,14.599,22.227,1564.39,201.798,0.9616,21.819,26892,2650,39857
vp_214019,standard,dg_c,95.25,81.85,converged,1,13.558,21.696,1563.811,196.71,0.9624,21.834,26892,2650,39857
vp_214019,standard,sg,96.84,91.09,converged,1,11.846,21.201,1569.186,149.151,0.9729,23.046,26892,2650,39857
vp_214019,standard,sg_c,95.46,80.34,converged,1,13.592,23.036,1569.062,198.26,0.9816,24.026,26892,2650,39857
vp_214019,reduced_compute,baseline,9.52,28.0,failed,0,87.016,9.495,1482.892,640.358,0.9015,18.248,26892,2650,39857
vp_214019,reduced_compute,dg,68.11,49.13,buffer,0,32.081,30.843,1587.515,513.347,0.9159,18.912,26892,2650,39857
vp_214019,reduced_compute,dg_c,60.79,68.08,converged,1,31.638,24.546,1593.911,319.082,0.9394,20.419,26892,2650,39857
vp_214019,reduced_compute,sg,70.5,84.68,converged,1,28.703,22.273,1592.476,187.188,0.9583,21.903,26892,2650,39857
vp_214019,reduced_compute,sg_c,94.65,86.87,converged,1,15.926,22.107,1577.871,172.976,0.9721,22.989,26892,2650,39857
vp_214019,missing_low_freq,baseline,10.91,24.6,failed,0,86.639,12.312,1483.629,700.689,0.8971,18.15,26892,2650,39857
vp_214019,missing_low_freq,dg,80.44,60.79,converged,1,25.75,26.563,1580.221,372.118,0.9301,20.024,26892,2650,39857
vp_214019,missing_low_freq,dg_c,86.88,68.83,converged,1,20.016,24.669,1576.948,295.872,0.9373,20.325,26892,2650,39857
vp_214019,missing_low_freq,sg,9.48,33.58,failed,0,84.39,12.071,1485.454,622.263,0.8972,18.187,26892,2650,39857
vp_214019,missing_low_freq,sg_c,96.69,93.7,converged,1,13.011,21.859,1560.987,137.017,0.9748,23.277,26892,2650,39857
vp_153934,standard,baseline,7.41,14.02,failed,0,87.729,15.583,1481.293,651.183,0.9055,18.81,31410,3865,46430
vp_153934,standard,dg,82.3,79.97,converged,1,23.866,20.662,1582.851,245.754,0.9444,21.883,31410,3865,46430
vp_153934,standard,dg_c,86.39,83.57,converged,1,22.609,20.132,1582.421,210.905,0.9481,22.076,31410,3865,46430
vp_153934,standard,sg,88.63,73.74,converged,1,21.049,26.44,1562.922,211.332,0.9691,23.873,31410,3865,46430
vp_153934,standard,sg_c,95.36,81.71,converged,1,14.559,22.752,1567.845,182.769,0.978,24.609,31410,3865,46430
vp_153934,reduced_compute,baseline,7.38,14.85,failed,0,87.144,1.982,1480.275,752.798,0.8974,18.217,31410,3865,46430
vp_153934,reduced_compute,dg,7.39,2.25,failed,0,84.723,7.443,1482.912,834.248,0.8917,17.651,31410,3865,46430
vp_153934,reduced_compute,dg_c,53.6,52.08,buffer,0,39.716,30.071,1593.403,467.147,0.9138,20.184,31410,3865,46430
vp_153934,reduced_compute,sg,85.48,59.07,buffer,0,25.965,24.108,1583.131,498.245,0.924,20.642,31410,3865,46430
vp_153934,reduced_compute,sg_c,80.52,90.97,converged,1,29.985,33.831,1561.326,151.789,0.9513,23.552,31410,3865,46430
vp_153934,missing_low_freq,baseline,7.38,10.94,failed,0,87.045,3.204,1480.39,774.784,0.8966,18.177,31410,3865,46430
vp_153934,missing_low_freq,dg,7.38,39.61,failed,0,87.036,1.795,1480.371,608.824,0.9062,18.81,31410,3865,46430
vp_153934,missing_low_freq,dg_c,67.31,60.8,converged,1,35.64,32.642,1583.085,474.217,0.9189,20.186,31410,3865,46430
vp_153934,missing_low_freq,sg,12.9,28.69,failed,0,81.266,24.52,1489.007,675.552,0.8975,18.831,31410,3865,46430
vp_153934,missing_low_freq,sg_c,79.89,91.05,converged,1,27.646,30.301,1556.623,152.972,0.9535,23.701,31410,3865,46430
vp_108121,standard,baseline,21.96,57.36,failed,0,84.059,73.496,1525.538,601.844,0.8897,18.459,24172,3335,37469
vp_108121,standard,dg,72.13,62.37,converged,1,32.343,23.821,1586.168,435.465,0.9448,20.28,24172,3335,37469
vp_108121,standard,dg_c,86.61,60.72,converged,1,21.187,22.548,1570.354,427.337,0.9447,20.146,24172,3335,37469
vp_108121,standard,sg,91.11,82.88,converged,1,17.116,19.814,1571.969,194.451,0.9568,21.386,24172,3335,37469
vp_108121,standard,sg_c,96.75,87.98,converged,1,12.145,18.795,1563.883,164.541,0.9674,22.183,24172,3335,37469
vp_108121,reduced_compute,baseline,5.6,25.64,failed,0,83.372,0.207,1480.009,987.083,0.8756,16.219,24172,3335,37469
vp_108121,reduced_compute,dg,6.25,15.92,failed,0,79.057,11.703,1485.116,1055.44,0.8688,15.695,24172,3335,37469
vp_108121,reduced_compute,dg_c,15.87,38.8,failed,0,60.011,35.441,1612.563,684.54,0.9023,17.935,24172,3335,37469
vp_108121,reduced_compute,sg,66.74,66.54,converged,1,29.25,23.129,1584.88,366.748,0.925,19.358,24172,3335,37469
vp_108121,reduced_compute,sg_c,55.11,78.53,buffer,0,34.356,20.339,1592.861,250.954,0.947,20.782,24172,3335,37469
vp_108121,missing_low_freq,baseline,5.6,19.16,failed,0,83.379,0.033,1480.001,1079.004,0.8698,15.976,24172,3335,37469
vp_108121,missing_low_freq,dg,5.61,30.67,failed,0,78.675,9.12,1484.915,924.68,0.8866,16.423,24172,3335,37469
vp_108121,missing_low_freq,dg_c,48.1,34.57,buffer,0,49.229,36.753,1598.066,716.712,0.9002,17.799,24172,3335,37469
vp_108121,missing_low_freq,sg,5.68,21.44,failed,0,74.595,14.755,1489.61,1019.796,0.8696,15.998,24172,3335,37469
vp_108121,missing_low_freq,sg_c,92.33,80.87,converged,1,16.399,19.874,1570.478,228.52,0.9531,21.117,24172,3335,37469
vp_161731,standard,baseline,41.56,30.32,buffer,0,58.327,56.727,1557.182,606.773,0.9234,20.441,26237,3668,40246
vp_161731,standard,dg,81.67,61.67,converged,1,29.287,28.183,1582.243,422.146,0.9456,21.57,26237,3668,40246
vp_161731,standard,dg_c,93.46,68.02,converged,1,18.362,23.38,1563.865,343.086,0.9488,21.883,26237,3668,40246
vp_161731,standard,sg,92.89,75.82,converged,1,17.436,21.449,1575.934,230.03,0.9654,23.493,26237,3668,40246
vp_161731,standard,sg_c,88.39,84.13,converged,1,21.362,22.923,1550.189,201.624,0.9692,23.826,26237,3668,40246
vp_161731,reduced_compute,baseline,5.32,15.87,failed,0,87.099,0.02,1480.001,783.573,0.8894,17.871,26237,3668,40246
vp_161731,reduced_compute,dg,30.96,46.92,failed,0,58.03,45.226,1605.721,634.397,0.9105,19.447,26237,3668,40246
vp_161731,reduced_compute,dg_c,50.52,53.68,buffer,0,48.645,36.54,1601.152,567.354,0.9222,19.994,26237,3668,40246
vp_161731,reduced_compute,sg,89.31,71.18,converged,1,23.77,27.13,1574.622,389.442,0.9441,21.675,26237,3668,40246
vp_161731,reduced_compute,sg_c,91.66,75.71,converged,1,22.871,27.843,1574.085,272.564,0.9561,22.893,26237,3668,40246
vp_161731,missing_low_freq,baseline,5.32,11.91,failed,0,87.1,0.001,1480.0,838.652,0.8857,17.658,26237,3668,40246
vp_161731,missing_low_freq,dg,5.32,29.99,failed,0,86.978,1.103,1480.127,704.27,0.9049,18.438,26237,3668,40246
vp_161731,missing_low_freq,dg_c,49.0,50.57,buffer,0,48.786,36.79,1601.295,568.546,0.9208,19.973,26237,3668,40246
vp_161731,missing_low_freq,sg,5.33,25.55,failed,0,85.857,4.994,1481.321,734.148,0.8907,18.124,26237,3668,40246
vp_161731,missing_low_freq,sg_c,84.87,77.97,converged,1,23.461,26.11,1552.353,262.082,0.958,23.033,26237,3668,40246
vp_953764,standard,baseline,90.33,50.12,buffer,0,21.974,26.007,1574.545,334.607,0.9438,21.621,26718,3220,40328
vp_953764,standard,dg,84.43,63.11,converged,1,24.732,22.904,1583.736,357.874,0.948,21.847,26718,3220,40328
vp_953764,standard,dg_c,88.79,65.43,converged,1,22.895,22.04,1583.668,314.192,0.9505,21.953,26718,3220,40328
vp_953764,standard,sg,89.13,81.24,converged,1,20.236,20.117,1584.135,188.614,0.9698,23.666,26718,3220,40328
vp_953764,standard,sg_c,94.94,88.98,converged,1,15.894,20.731,1558.6,157.656,0.9756,24.128,26718,3220,40328
vp_953764,reduced_compute,baseline,5.16,15.71,failed,0,90.313,0.045,1480.001,766.68,0.8907,17.806,26718,3220,40328
vp_953764,reduced_compute,dg,38.48,54.38,failed,0,46.501,31.842,1605.172,511.754,0.9187,19.922,26718,3220,40328
vp_953764,reduced_compute,dg_c,66.09,59.6,buffer,0,37.414,28.81,1595.983,477.794,0.9322,20.53,26718,3220,40328
vp_953764,reduced_compute,sg,79.4,79.81,converged,1,27.529,20.721,1591.86,211.521,0.9538,22.362,26718,3220,40328
vp_953764,reduced_compute,sg_c,89.98,80.99,converged,1,20.773,22.121,1582.794,198.837,0.964,23.225,26718,3220,40328
vp_953764,missing_low_freq,baseline,5.16,11.65,failed,0,90.314,0.011,1480.0,834.593,0.8871,17.611,26718,3220,40328
vp_953764,missing_low_freq,dg,5.16,35.34,failed,0,89.885,2.538,1480.466,661.092,0.9052,18.502,26718,3220,40328
vp_953764,missing_low_freq,dg_c,47.19,55.12,buffer,0,44.519,31.358,1603.06,524.035,0.9238,20.113,26718,3220,40328
vp_953764,missing_low_freq,sg,5.47,25.25,failed,0,87.613,8.284,1482.967,711.432,0.8892,17.997,26718,3220,40328
vp_953764,missing_low_freq,sg_c,90.65,88.29,converged,1,18.303,22.543,1559.11,162.406,0.9684,23.682,26718,3220,40328
vp_654754,standard,baseline,72.03,67.13,converged,1,31.928,26.073,1597.458,270.41,0.9565,21.851,25717,2528,38326
vp_654754,standard,dg,93.17,80.1,converged,1,19.229,19.803,1586.131,208.645,0.9669,22.468,25717,2528,38326
vp_654754,standard,dg_c,92.63,80.06,converged,1,19.815,20.167,1586.911,216.417,0.9656,22.308,25717,2528,38326
vp_654754,standard,sg,87.98,85.09,converged,1,21.9,20.653,1589.43,177.778,0.974,23.555,25717,2528,38326
vp_654754,standard,sg_c,93.99,91.14,converged,1,16.19,21.549,1559.632,149.444,0.9796,23.975,25717,2528,38326
vp_654754,reduced_compute,baseline,6.35,38.45,failed,0,92.8,5.402,1480.972,727.959,0.9049,18.031,25717,2528,38326
vp_654754,reduced_compute,dg,67.56,35.56,buffer,0,36.658,31.482,1595.776,608.128,0.9226,19.038,25717,2528,38326
vp_654754,reduced_compute,dg_c,60.28,59.49,buffer,0,35.34,24.903,1601.234,382.298,0.9383,20.36,25717,2528,38326
vp_654754,reduced_compute,sg,69.71,81.61,converged,1,30.891,22.498,1598.125,257.306,0.9537,21.653,25717,2528,38326
vp_654754,reduced_compute,sg_c,92.0,83.98,converged,1,18.869,21.995,1585.335,185.686,0.9719,23.212,25717,2528,38326
vp_654754,missing_low_freq,baseline,6.35,29.03,failed,0,93.355,1.705,1480.184,841.049,0.8982,17.693,25717,2528,38326
vp_654754,missing_low_freq,dg,6.34,51.34,failed,0,91.431,6.363,1482.208,547.574,0.9165,18.755,25717,2528,38326
vp_654754,missing_low_freq,dg_c,82.99,55.26,buffer,0,22.849,24.16,1584.379,392.471,0.9364,20.234,25717,2528,38326
vp_654754,missing_low_freq,sg,7.67,25.67,failed,0,85.005,15.191,1489.228,778.817,0.9056,18.0,25717,2528,38326
vp_654754,missing_low_freq,sg_c,93.73,89.56,converged,1,15.809,21.972,1561.582,159.433,0.9751,23.502,25717,2528,38326
vp_206525,standard,baseline,7.79,31.55,failed,0,86.414,2.13,1480.136,581.419,0.9186,19.197,35529,3642,50791
vp_206525,standard,dg,70.92,61.72,converged,1,31.837,27.187,1586.416,374.552,0.9373,20.748,35529,3642,50791
vp_206525,standard,dg_c,84.17,80.2,converged,1,23.415,23.001,1580.025,264.775,0.9493,21.605,35529,3642,50791
vp_206525,standard,sg,78.78,77.35,converged,1,33.67,35.668,1557.36,329.277,0.918,20.57,35529,3642,50791
vp_206525,standard,sg_c,84.69,84.82,converged,1,21.132,28.802,1558.092,175.292,0.9729,24.049,35529,3642,50791
vp_206525,reduced_compute,baseline,7.73,11.64,failed,0,86.507,0.004,1480.0,823.616,0.9022,18.029,35529,3642,50791
vp_206525,reduced_compute,dg,7.92,0.69,failed,0,70.168,18.425,1497.682,944.825,0.8774,16.523,35529,3642,50791
vp_206525,reduced_compute,dg_c,62.23,30.23,buffer,0,38.862,31.035,1590.726,496.929,0.9148,19.578,35529,3642,50791
vp_206525,reduced_compute,sg,76.07,15.82,failed,0,33.444,33.12,1577.912,587.516,0.8774,18.852,35529,3642,50791
vp_206525,reduced_compute,sg_c,70.2,86.24,converged,1,38.19,39.005,1550.344,177.686,0.9328,22.114,35529,3642,50791
vp_206525,missing_low_freq,baseline,7.73,10.46,failed,0,86.507,0.0,1480.0,876.025,0.9016,18.032,35529,3642,50791
vp_206525,missing_low_freq,dg,7.74,2.25,failed,0,81.0,8.907,1485.287,839.154,0.8988,17.387,35529,3642,50791
vp_206525,missing_low_freq,dg_c,42.55,27.92,failed,0,51.427,38.394,1600.621,563.833,0.914,19.339,35529,3642,50791
vp_206525,missing_low_freq,sg,83.38,13.32,failed,0,66.921,65.878,1576.639,849.538,0.8161,17.06,35529,3642,50791
vp_206525,missing_low_freq,sg_c,67.41,81.74,converged,1,49.231,49.58,1553.315,233.93,0.9159,21.415,35529,3642,50791
vp_146331,standard,baseline,8.9,27.52,failed,0,88.801,33.592,1487.425,559.313,0.8865,18.555,26301,3779,40497
vp_146331,standard,dg,81.24,86.24,converged,1,24.761,17.994,1587.623,196.095,0.9454,21.781,26301,3779,40497
vp_146331,standard,dg_c,83.2,85.68,converged,1,24.034,18.074,1587.199,194.697,0.9461,21.764,26301,3779,40497
vp_146331,standard,sg,85.47,89.04,converged,1,23.085,18.371,1587.33,152.289,0.9676,23.225,26301,3779,40497
vp_146331,standard,sg_c,96.28,92.19,converged,1,15.628,19.494,1578.024,142.892,0.976,23.98,26301,3779,40497
vp_146331,reduced_compute,baseline,6.13,18.15,failed,0,88.634,6.197,1481.221,725.146,0.8757,17.723,26301,3779,40497
vp_146331,reduced_compute,dg,6.15,30.01,failed,0,83.746,12.913,1486.491,705.997,0.873,17.535,26301,3779,40497
vp_146331,reduced_compute,dg_c,41.1,69.25,buffer,0,41.887,24.146,1603.079,353.583,0.9123,20.101,26301,3779,40497
vp_146331,reduced_compute,sg,90.39,91.32,converged,1,18.175,19.84,1577.432,157.357,0.9429,21.651,26301,3779,40497
vp_146331,reduced_compute,sg_c,86.5,94.07,converged,1,22.091,19.015,1586.082,133.342,0.9605,22.799,26301,3779,40497
vp_146331,missing_low_freq,baseline,7.23,13.15,failed,0,88.479,9.889,1481.775,774.283,0.8732,17.625,26301,3779,40497
vp_146331,missing_low_freq,dg,6.1,35.96,failed,0,85.584,10.718,1484.351,652.629,0.8771,17.808,26301,3779,40497
vp_146331,missing_low_freq,dg_c,57.75,57.18,buffer,0,39.762,29.91,1595.17,434.223,0.8956,19.39,26301,3779,40497
vp_146331,missing_low_freq,sg,6.23,33.08,failed,0,84.722,11.573,1485.287,671.234,0.8746,17.884,26301,3779,40497
vp_146331,missing_low_freq,sg_c,94.72,91.29,converged,1,13.744,20.289,1565.273,159.069,0.9616,22.558,26301,3779,40497
vp_175439,standard,baseline,91.73,58.39,buffer,0,16.689,24.167,1568.342,266.621,0.9556,21.612,24862,2401,37186
vp_175439,standard,dg,91.9,89.09,converged,1,19.422,19.861,1577.836,160.647,0.9665,22.538,24862,2401,37186
vp_175439,standard,dg_c,92.55,90.84,converged,1,19.039,19.664,1578.029,159.31,0.9662,22.493,24862,2401,37186
vp_175439,standard,sg,79.32,80.26,converged,1,26.081,21.603,1585.785,197.333,0.965,22.67,24862,2401,37186
vp_175439,standard,sg_c,91.94,75.18,converged,1,18.692,22.867,1576.446,204.963,0.9773,23.779,24862,2401,37186
vp_175439,reduced_compute,baseline,8.82,20.41,failed,0,86.099,0.571,1480.049,695.582,0.8977,18.073,24862,2401,37186
vp_175439,reduced_compute,dg,23.18,39.15,failed,0,53.984,34.024,1608.34,535.546,0.9106,19.094,24862,2401,37186
vp_175439,reduced_compute,dg_c,62.4,70.01,converged,1,33.836,23.492,1592.623,299.918,0.938,20.633,24862,2401,37186
vp_175439,reduced_compute,sg,60.82,81.01,converged,1,34.119,22.691,1593.764,240.64,0.9454,21.28,24862,2401,37186
vp_175439,reduced_compute,sg_c,85.48,83.47,converged,1,23.256,21.847,1583.124,191.816,0.9677,22.888,24862,2401,37186
vp_175439,missing_low_freq,baseline,8.82,13.62,failed,0,86.14,0.091,1480.005,811.536,0.8914,17.821,24862,2401,37186
vp_175439,missing_low_freq,dg,46.98,60.93,buffer,0,40.565,26.35,1597.446,364.188,0.9271,20.173,24862,2401,37186
vp_175439,missing_low_freq,dg_c,76.12,55.73,buffer,0,28.526,27.42,1580.235,382.574,0.9256,19.98,24862,2401,37186
